553319813	display alternatives	2016-09-20 12:40:12.000000	JM1CR293560114886	Used	2006	Mazda	Mazda5	5250.0000	152000
553319813	visit features	2016-09-20 12:42:09.000000	JM1CR293560114886	Used	2006	Mazda	Mazda5	5250.0000	152000
553319813	show badge detail	2016-09-20 12:40:29.000000	JM1CR293560114886	Used	2006	Mazda	Mazda5	5250.0000	152000
553319813	visit badges	2016-09-20 12:42:55.000000	JM1CR293560114886	Used	2006	Mazda	Mazda5	5250.0000	152000
553319813	visit badges	2016-09-20 12:40:39.000000	JM1CR293560114886	Used	2006	Mazda	Mazda5	5250.0000	152000
553319813	show badge detail	2016-09-20 12:40:28.000000	JM1CR293560114886	Used	2006	Mazda	Mazda5	5250.0000	152000
553319813	visit features	2016-09-20 12:41:00.000000	JM1CR293560114886	Used	2006	Mazda	Mazda5	5250.0000	152000
553319813	show badge detail	2016-09-20 12:40:32.000000	JM1CR293560114886	Used	2006	Mazda	Mazda5	5250.0000	152000
553319813	visit alternatives	2016-09-20 12:41:01.000000	JM1CR293560114886	Used	2006	Mazda	Mazda5	5250.0000	152000
553319813	show badge detail	2016-09-20 12:43:10.000000	JM1CR293560114886	Used	2006	Mazda	Mazda5	5250.0000	152000
553319813	visit contact form	2016-09-20 12:41:10.000000	JM1CR293560114886	Used	2006	Mazda	Mazda5	5250.0000	152000
553319813	visit market report	2016-09-20 12:40:12.000000	JM1CR293560114886	Used	2006	Mazda	Mazda5	5250.0000	152000
495250720	visit features	2016-09-20 19:12:56.000000	3D7MA48C64G235644	Used	2004	Dodge	Ram 3500	0.0000	0
495250720	visit badges	2016-09-20 19:12:56.000000	3D7MA48C64G235644	Used	2004	Dodge	Ram 3500	0.0000	0
495250720	visit badges	2016-09-20 19:11:44.000000	3D7MA48C64G235644	Used	2004	Dodge	Ram 3500	0.0000	0
495250720	display alternatives	2016-09-20 19:11:31.000000	3D7MA48C64G235644	Used	2004	Dodge	Ram 3500	0.0000	0
495250720	show badge detail	2016-09-20 19:13:06.000000	3D7MA48C64G235644	Used	2004	Dodge	Ram 3500	0.0000	0
495250720	visit features	2016-09-20 19:12:17.000000	3D7MA48C64G235644	Used	2004	Dodge	Ram 3500	0.0000	0
495250720	visit badges	2016-09-20 19:13:03.000000	3D7MA48C64G235644	Used	2004	Dodge	Ram 3500	0.0000	0
495250720	visit market report	2016-09-20 19:11:31.000000	3D7MA48C64G235644	Used	2004	Dodge	Ram 3500	0.0000	0
495250720	visit alternatives	2016-09-20 19:12:37.000000	3D7MA48C64G235644	Used	2004	Dodge	Ram 3500	0.0000	0
553320448	display alternatives	2016-09-20 00:18:51.000000	1N6AD0ERXCC460850	Used	2012	Nissan	Frontier	0.0000	33143
553320372	display alternatives	2016-09-20 08:41:56.000000	1N6AD0ERXCC460850	Used	2012	Nissan	Frontier	0.0000	33143
553320372	visit market report	2016-09-20 08:41:57.000000	1N6AD0ERXCC460850	Used	2012	Nissan	Frontier	0.0000	33143
553320372	visit market report	2016-09-20 08:41:56.000000	1N6AD0ERXCC460850	Used	2012	Nissan	Frontier	0.0000	33143
